flavorId,flavorSortOrder,flavorName,flavorBackgroundColor,flavorTagline,flavorDescription,featuredOnPage,flavorImageUrl,skuId,skuSortOrder,sizeLabel,skuImageUrl
mango,1,Mango,#FFE0B2,Tropical gold for shakes and dessert bars,,true,,mango-300-ml,1,300 ml,
mango,1,Mango,#FFE0B2,Tropical gold for shakes and dessert bars,,true,,mango-750-ml,2,750 ml,
mango,1,Mango,#FFE0B2,Tropical gold for shakes and dessert bars,,true,,mango-5-ltr,3,5 Ltr,
strawberry,2,Strawberry,#F8D7E0,Berry brightness for milkshakes and toppings,,true,,strawberry-300-ml,1,300 ml,
strawberry,2,Strawberry,#F8D7E0,Berry brightness for milkshakes and toppings,,true,,strawberry-750-ml,2,750 ml,
strawberry,2,Strawberry,#F8D7E0,Berry brightness for milkshakes and toppings,,true,,strawberry-5-ltr,3,5 Ltr,
pineapple,3,Pineapple,#FFECB3,Sun-sweet crush for tropical beverage lines,,false,,pineapple-300-ml,1,300 ml,
pineapple,3,Pineapple,#FFECB3,Sun-sweet crush for tropical beverage lines,,false,,pineapple-750-ml,2,750 ml,
pineapple,3,Pineapple,#FFECB3,Sun-sweet crush for tropical beverage lines,,false,,pineapple-5-ltr,3,5 Ltr,
pineapple-whole-fruit,4,Pineapple Whole Fruit,#FFE082,Real fruit texture in every pour,,false,,pineapple-whole-fruit-300-ml,1,300 ml,
pineapple-whole-fruit,4,Pineapple Whole Fruit,#FFE082,Real fruit texture in every pour,,false,,pineapple-whole-fruit-1-ltr,2,1 Ltr,
pineapple-whole-fruit,4,Pineapple Whole Fruit,#FFE082,Real fruit texture in every pour,,false,,pineapple-whole-fruit-5-ltr,3,5 Ltr,
strawberry-whole-fruit,5,Strawberry Whole Fruit,#F5C6D0,Chunky berry body for premium mocktails,,false,,strawberry-whole-fruit-300-ml,1,300 ml,
strawberry-whole-fruit,5,Strawberry Whole Fruit,#F5C6D0,Chunky berry body for premium mocktails,,false,,strawberry-whole-fruit-1-ltr,2,1 Ltr,
mango-whole-fruit,6,Mango Whole Fruit,#FFD180,Alphonso-style richness with fruit pieces,,false,,mango-whole-fruit-300-ml,1,300 ml,
mango-whole-fruit,6,Mango Whole Fruit,#FFD180,Alphonso-style richness with fruit pieces,,false,,mango-whole-fruit-1-ltr,2,1 Ltr,
blueberry,7,Blueberry,#D6E4F0,Deep berry notes for café beverage menus,,false,,blueberry-300-ml,1,300 ml,
blueberry,7,Blueberry,#D6E4F0,Deep berry notes for café beverage menus,,false,,blueberry-750-ml,2,750 ml,
blueberry,7,Blueberry,#D6E4F0,Deep berry notes for café beverage menus,,false,,blueberry-5-ltr,3,5 Ltr,
butterscotch,8,Butterscotch,#F5D6A8,Caramel warmth for dessert drinks and sundaes,,false,,butterscotch-300-ml,1,300 ml,
butterscotch,8,Butterscotch,#F5D6A8,Caramel warmth for dessert drinks and sundaes,,false,,butterscotch-750-ml,2,750 ml,
butterscotch,8,Butterscotch,#F5D6A8,Caramel warmth for dessert drinks and sundaes,,false,,butterscotch-5-ltr,3,5 Ltr,
orange,9,Orange,#FFD4A3,Citrus punch for sodas and fruit coolers,,false,,orange-750-ml,1,750 ml,
orange,9,Orange,#FFD4A3,Citrus punch for sodas and fruit coolers,,false,,orange-5-ltr,2,5 Ltr,
blackcurrant,10,Blackcurrant,#E4D4F0,Bold purple depth for signature mocktails,,false,,blackcurrant-750-ml,1,750 ml,
litchi,11,Litchi,#FCE4EC,Floral sweetness for exotic drink programmes,,false,,litchi-750-ml,1,750 ml,
litchi,11,Litchi,#FCE4EC,Floral sweetness for exotic drink programmes,,false,,litchi-5-ltr,2,5 Ltr,
guava,12,Guava,#FFCCBC,Tropical pink for juices and dessert bars,,false,,guava-750-ml,1,750 ml,
guava,12,Guava,#FFCCBC,Tropical pink for juices and dessert bars,,false,,guava-5-ltr,2,5 Ltr,
kiwi,13,Kiwi,#DCEDC8,Zesty green lift for modern beverage lines,,false,,kiwi-750-ml,1,750 ml,
blackforest,14,Blackforest,#D7CCC8,Chocolate-cherry depth for indulgent drinks,,false,,blackforest-300-ml,1,300 ml,
blackforest,14,Blackforest,#D7CCC8,Chocolate-cherry depth for indulgent drinks,,false,,blackforest-1-ltr,2,1 Ltr,
blackforest,14,Blackforest,#D7CCC8,Chocolate-cherry depth for indulgent drinks,,false,,blackforest-5-ltr,3,5 Ltr,
rasmalai,15,Rasmalai,#FFF8E1,Indian dessert nostalgia in every swirl,,false,,rasmalai-300-ml,1,300 ml,
rasmalai,15,Rasmalai,#FFF8E1,Indian dessert nostalgia in every swirl,,false,,rasmalai-750-ml,2,750 ml,
rasmalai,15,Rasmalai,#FFF8E1,Indian dessert nostalgia in every swirl,,false,,rasmalai-5-ltr,3,5 Ltr,
rabdi,16,Rabdi,#FFF3E0,Rich mawa notes for faloodas and kulfi,,false,,rabdi-300-ml,1,300 ml,
rabdi,16,Rabdi,#FFF3E0,Rich mawa notes for faloodas and kulfi,,false,,rabdi-750-ml,2,750 ml,
mango-rabdi,17,Mango Rabdi,#FFE0B2,Mango meets mawa for festive beverage menus,,false,,mango-rabdi-750-ml,1,750 ml,
mango-mawa,18,Mango Mawa,#FFCC80,Dense mango richness for premium toppings,,false,,mango-mawa-300-ml,1,300 ml,
kesar-mawa,19,Kesar Mawa,#FFF9C4,Saffron-kissed mawa for celebration drinks,,false,,kesar-mawa-750-ml,1,750 ml,
cashew,20,Cashew,#F5E6D3,Nutty luxury for milkshakes and faloodas,,false,,cashew-300-ml,1,300 ml,
cashew,20,Cashew,#F5E6D3,Nutty luxury for milkshakes and faloodas,,false,,cashew-1-ltr,2,1 Ltr,
choco-cashew,21,Choco Cashew,#D7CCC8,Chocolate-nut indulgence for dessert bars,,false,,choco-cashew-300-ml,1,300 ml,
